ID,RunNumber,Condition,Trial Number,Object,ShouldClick,Clicked,Response Time,Correct,ExposureTime
0000,1,No Task,78,NBackGameCoin(Clone),False,False,0,True,00:04:04.4984190
0000,1,No Task,79,NBackCow(Clone),False,False,0,True,00:04:07.5068830
0000,1,No Task,80,NBackSkunk(Clone),False,False,0,True,00:04:10.5143692
0000,1,No Task,81,NBackSkunk(Clone),False,False,0,True,00:04:13.5232644
0000,1,No Task,82,NBackSkunk(Clone),False,False,0,True,00:04:16.5302269
0000,1,No Task,83,NBackSkunk(Clone),False,False,0,True,00:04:19.5373800
0000,1,No Task,84,NBackSkunk(Clone),False,False,0,True,00:04:22.5434129
0000,1,No Task,85,NBackSkunk(Clone),False,False,0,True,00:04:25.5531033
0000,1,No Task,86,NBackGameCoin(Clone),False,False,0,True,00:04:28.5611203
0000,1,No Task,87,NBackGameCoin(Clone),False,False,0,True,00:04:31.5663317
0000,1,No Task,88,NBackGameCoin(Clone),False,False,0,True,00:04:34.5757054
0000,1,No Task,89,NBackGameCoin(Clone),False,False,0,True,00:04:37.5837807
0000,1,No Task,90,NBackGameCoin(Clone),False,False,0,True,00:04:40.5892262
0000,1,No Task,91,NBackGameCoin(Clone),False,False,0,True,00:04:43.5957869
0000,1,No Task,92,NBackGameCoin(Clone),False,False,0,True,00:04:46.6038205
0000,1,No Task,93,NBackSkunk(Clone),False,False,0,True,00:04:49.6127112
0000,1,No Task,94,NBackCow(Clone),False,False,0,True,00:04:52.6192967
0000,1,No Task,95,NBackCow(Clone),False,False,0,True,00:04:55.6275928
0000,1,No Task,96,NBackCow(Clone),False,False,0,True,00:04:58.6358207
0000,1,No Task,97,NBackCow(Clone),False,False,0,True,00:05:01.6437788
0000,1,No Task,98,NBackGameCoin(Clone),False,False,0,True,00:05:04.6504427
0000,1,No Task,99,NBackCow(Clone),False,False,0,True,00:05:07.6580252
0000,1,No Task,100,NBackGameCoin(Clone),False,False,0,True,00:05:10.6650120
0000,1,No Task,101,NBackSkunk(Clone),False,False,0,True,00:05:13.6721019
0000,1,No Task,102,NBackGameCoin(Clone),False,False,0,True,00:05:16.6795467
0000,1,No Task,103,NBackSkunk(Clone),False,False,0,True,00:05:19.6872843
0000,1,No Task,104,NBackCow(Clone),False,False,0,True,00:05:22.6951463
0000,1,No Task,105,NBackGameCoin(Clone),False,False,0,True,00:05:25.7022475
0000,1,No Task,106,NBackCow(Clone),False,False,0,True,00:05:28.7101556
0000,1,No Task,107,NBackGameCoin(Clone),False,False,0,True,00:05:31.7180096
0000,1,No Task,108,NBackCow(Clone),False,False,0,True,00:05:34.7253436
0000,1,No Task,109,NBackGameCoin(Clone),False,False,0,True,00:05:37.7322186
0000,1,No Task,110,NBackGameCoin(Clone),False,False,0,True,00:05:40.7396438
0000,1,No Task,111,NBackCow(Clone),False,False,0,True,00:05:43.7476857
